dataset,size,quality,method,metric,seed,mi_value,umis_per_cell,fitted_mi_value,A_info,B_info,A_info_err,B_info_err,y_info,y_info_lower,A_cell_fit,B_cell_fit,C_cell_fit,A_cell_err,B_cell_err,C_cell_err,y_cell_upper,y_cell_lower
PBMC,100,0.0012346,Geneformer,celltype.l3,42,0.53784,10,0.4598888715282527,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0680227172456784,-0.0680227172456784,10.0000062063622,0.6388255685714044,0.6364376128701273,24.227777689431747,0.38921552276044996,0.034592373551825026,0.7587205576042908,-0.7587205576042908
PBMC,100,0.0012346,Geneformer,celltype.l3,2701,0.39424,10,0.4598888715282527,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0680227172456784,-0.0680227172456784,10.0000062063622,0.6388255685714044,0.6364376128701273,24.227777689431747,0.38921552276044996,0.034592373551825026,0.7587205576042908,-0.7587205576042908
PBMC,100,0.0025982,Geneformer,celltype.l3,42,0.71172,21,0.733065032186494,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0855714548677084,-0.0855714548677084,12.728572005575296,0.5619084786304569,1.0347284096043836,6.040732787385851,0.126585853211999,0.020006546167891864,0.054537957900397525,-0.054537957900397525
PBMC,100,0.0025982,Geneformer,celltype.l3,2701,0.76171,21,0.733065032186494,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0855714548677084,-0.0855714548677084,12.728572005575296,0.5619084786304569,1.0347284096043836,6.040732787385851,0.126585853211999,0.020006546167891864,0.054537957900397525,-0.054537957900397525
PBMC,100,0.0054682,Geneformer,celltype.l3,42,1.08677,44,1.0503873945122586,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0895589929815927,-0.0895589929815927,10.000002683604258,0.47147576737186836,1.3913740327084232,8.585508782012722,0.25591488717072824,0.05643778883370291,0.4736664371076362,-0.4736664371076362
PBMC,100,0.0054682,Geneformer,celltype.l3,2701,1.06594,44,1.0503873945122586,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0895589929815927,-0.0895589929815927,10.000002683604258,0.47147576737186836,1.3913740327084232,8.585508782012722,0.25591488717072824,0.05643778883370291,0.4736664371076362,-0.4736664371076362
PBMC,100,0.0115083,Geneformer,celltype.l3,42,1.33555,93,1.3654170378450046,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0782752418132304,-0.0782752418132304,999999.9999986758,0.05486353072387145,2.995449632968204,343184.3642812885,0.18371796311634356,4.62360619478092,15.923834065187348,-15.923834065187348
PBMC,100,0.0115083,Geneformer,celltype.l3,2701,1.36837,93,1.3654170378450046,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0782752418132304,-0.0782752418132304,999999.9999986758,0.05486353072387145,2.995449632968204,343184.3642812885,0.18371796311634356,4.62360619478092,15.923834065187348,-15.923834065187348
PBMC,100,0.02422,Geneformer,celltype.l3,42,1.60339,196,1.624275324576554,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0616696429573696,-0.0616696429573696,16.131430160799034,0.2530767367375606,2.200766699343039,21.399895392552594,0.3442371162056469,0.40499725462770575,0.2994273996389446,-0.2994273996389446
PBMC,100,0.02422,Geneformer,celltype.l3,2701,1.6433,196,1.624275324576554,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0616696429573696,-0.0616696429573696,16.131430160799034,0.2530767367375606,2.200766699343039,21.399895392552594,0.3442371162056469,0.40499725462770575,0.2994273996389446,-0.2994273996389446
PBMC,100,0.050973,Geneformer,celltype.l3,42,1.78697,413,1.8047663011748416,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0563918302728596,-0.0563918302728596,999999.9468803672,0.07578760985252338,3.729590370653686,16278699.531835716,0.17937225910675858,3.7074112679591944,17.97961929486946,-17.97961929486946
PBMC,100,0.050973,Geneformer,celltype.l3,2701,1.8063,413,1.8047663011748416,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0563918302728596,-0.0563918302728596,999999.9468803672,0.07578760985252338,3.729590370653686,16278699.531835716,0.17937225910675858,3.7074112679591944,17.97961929486946,-17.97961929486946
PBMC,100,0.1072766,Geneformer,celltype.l3,42,1.83914,869,1.9135461922447792,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0632804284987017,-0.0632804284987017,340.2656648664932,0.13909607337753715,3.0581962937717972,3552.8734820166283,0.26024915103168844,1.429252304781152,0.31263602656994777,-0.31263602656994777
PBMC,100,0.1072766,Geneformer,celltype.l3,2701,1.97561,869,1.9135461922447792,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0632804284987017,-0.0632804284987017,340.2656648664932,0.13909607337753715,3.0581962937717972,3552.8734820166283,0.26024915103168844,1.429252304781152,0.31263602656994777,-0.31263602656994777
PBMC,100,0.225772,Geneformer,celltype.l3,42,1.82255,1829,1.972760998070334,0.0060158183336747,0.1005632507093983,0.0008003023546304,0.0102575084656106,0.0713393867489099,-0.0713393867489099,999999.9201224811,0.09102221622499147,4.178018936513832,30052847.82822154,0.15655900495490788,2.977307755441779,5.578067021812047,-5.578067021812047
