dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,100,0.225772,Geneformer,celltype.l3,42,1.95818
PBMC,100,0.225772,Geneformer,celltype.l3,2303,1.98689
PBMC,100,0.225772,Geneformer,celltype.l3,2701,1.95605
PBMC,100,0.225772,PCA,celltype.l3,42,2.56065
PBMC,100,0.225772,PCA,celltype.l3,2303,2.59573
PBMC,100,0.225772,PCA,celltype.l3,2701,2.59097
PBMC,100,0.225772,RandomProjection,celltype.l3,42,1.86693
PBMC,100,0.225772,RandomProjection,celltype.l3,2303,1.8254
PBMC,100,0.225772,RandomProjection,celltype.l3,2701,1.86693
PBMC,100,0.225772,SCVI,celltype.l3,42,2.51578
PBMC,100,0.225772,SCVI,celltype.l3,2303,2.51759
PBMC,100,0.225772,SCVI,celltype.l3,2701,2.50462
PBMC,100,0.4751547,Geneformer,celltype.l3,42,1.97705
PBMC,100,0.4751547,Geneformer,celltype.l3,2303,1.96806
PBMC,100,0.4751547,Geneformer,celltype.l3,2701,1.96472
PBMC,100,0.4751547,PCA,celltype.l3,42,2.80446
PBMC,100,0.4751547,PCA,celltype.l3,2303,2.86827
PBMC,100,0.4751547,PCA,celltype.l3,2701,2.85818
PBMC,100,0.4751547,RandomProjection,celltype.l3,42,2.17521
PBMC,100,0.4751547,RandomProjection,celltype.l3,2303,2.13161
PBMC,100,0.4751547,RandomProjection,celltype.l3,2701,2.17521
PBMC,100,0.4751547,SCVI,celltype.l3,42,2.70715
PBMC,100,0.4751547,SCVI,celltype.l3,2303,2.64888
PBMC,100,0.4751547,SCVI,celltype.l3,2701,2.62379
PBMC,100,1.0,Geneformer,celltype.l3,42,2.33628
PBMC,100,1.0,Geneformer,celltype.l3,2303,2.54068
PBMC,100,1.0,Geneformer,celltype.l3,2701,2.51872
PBMC,100,1.0,PCA,celltype.l3,42,3.09075
PBMC,100,1.0,PCA,celltype.l3,2303,3.08993
PBMC,100,1.0,PCA,celltype.l3,2701,3.07962
PBMC,100,1.0,RandomProjection,celltype.l3,42,2.4237
PBMC,100,1.0,RandomProjection,celltype.l3,2303,2.38083
PBMC,100,1.0,RandomProjection,celltype.l3,2701,2.4237
PBMC,100,1.0,SCVI,celltype.l3,42,2.76217
PBMC,100,1.0,SCVI,celltype.l3,2303,2.80125
PBMC,100,1.0,SCVI,celltype.l3,2701,2.78761
PBMC,215,0.0012346,Geneformer,celltype.l3,42,0.49696
PBMC,215,0.0012346,Geneformer,celltype.l3,2303,0.50713
PBMC,215,0.0012346,Geneformer,celltype.l3,2701,0.45882
PBMC,215,0.0012346,PCA,celltype.l3,42,1.88278
PBMC,215,0.0012346,PCA,celltype.l3,2303,0.32319
PBMC,215,0.0012346,PCA,celltype.l3,2701,1.88215
PBMC,215,0.0012346,RandomProjection,celltype.l3,42,0.17683
PBMC,215,0.0012346,RandomProjection,celltype.l3,2303,0.17462
PBMC,215,0.0012346,RandomProjection,celltype.l3,2701,0.17683
PBMC,215,0.0012346,SCVI,celltype.l3,42,0.21364
PBMC,215,0.0012346,SCVI,celltype.l3,2303,0.24436
PBMC,215,0.0012346,SCVI,celltype.l3,2701,0.27246
PBMC,215,0.0025982,Geneformer,celltype.l3,42,0.80449
PBMC,215,0.0025982,Geneformer,celltype.l3,2303,0.8188
PBMC,215,0.0025982,Geneformer,celltype.l3,2701,0.81511
PBMC,215,0.0025982,PCA,celltype.l3,42,1.78254
PBMC,215,0.0025982,PCA,celltype.l3,2303,0.60761
PBMC,215,0.0025982,PCA,celltype.l3,2701,1.78244
PBMC,215,0.0025982,RandomProjection,celltype.l3,42,0.20138
PBMC,215,0.0025982,RandomProjection,celltype.l3,2303,0.20576
PBMC,215,0.0025982,RandomProjection,celltype.l3,2701,0.20138
PBMC,215,0.0025982,SCVI,celltype.l3,42,0.4174
PBMC,215,0.0025982,SCVI,celltype.l3,2303,0.54996
PBMC,215,0.0025982,SCVI,celltype.l3,2701,0.53714
PBMC,215,0.0054682,Geneformer,celltype.l3,42,1.17589
PBMC,215,0.0054682,Geneformer,celltype.l3,2303,1.21443
PBMC,215,0.0054682,Geneformer,celltype.l3,2701,1.20035
PBMC,215,0.0054682,PCA,celltype.l3,42,1.62372
PBMC,215,0.0054682,PCA,celltype.l3,2303,0.858
PBMC,215,0.0054682,PCA,celltype.l3,2701,1.61317
PBMC,215,0.0054682,RandomProjection,celltype.l3,42,0.23654
PBMC,215,0.0054682,RandomProjection,celltype.l3,2303,0.32302
PBMC,215,0.0054682,RandomProjection,celltype.l3,2701,0.23654
PBMC,215,0.0054682,SCVI,celltype.l3,42,0.8157
PBMC,215,0.0054682,SCVI,celltype.l3,2303,0.91138
PBMC,215,0.0054682,SCVI,celltype.l3,2701,0.8498
PBMC,215,0.0115083,Geneformer,celltype.l3,42,1.45211
PBMC,215,0.0115083,Geneformer,celltype.l3,2303,1.53157
PBMC,215,0.0115083,Geneformer,celltype.l3,2701,1.49827
PBMC,215,0.0115083,PCA,celltype.l3,42,1.51968
PBMC,215,0.0115083,PCA,celltype.l3,2303,1.18114
PBMC,215,0.0115083,PCA,celltype.l3,2701,1.61079
PBMC,215,0.0115083,RandomProjection,celltype.l3,42,0.4504
PBMC,215,0.0115083,RandomProjection,celltype.l3,2303,0.54692
PBMC,215,0.0115083,RandomProjection,celltype.l3,2701,0.4504
PBMC,215,0.0115083,SCVI,celltype.l3,42,1.44215
PBMC,215,0.0115083,SCVI,celltype.l3,2303,1.4482
PBMC,215,0.0115083,SCVI,celltype.l3,2701,1.40982
PBMC,215,0.02422,Geneformer,celltype.l3,42,1.68611
PBMC,215,0.02422,Geneformer,celltype.l3,2303,1.73026
PBMC,215,0.02422,Geneformer,celltype.l3,2701,1.65813
PBMC,215,0.02422,PCA,celltype.l3,42,1.57659
PBMC,215,0.02422,PCA,celltype.l3,2303,1.55384
PBMC,215,0.02422,PCA,celltype.l3,2701,1.65639
PBMC,215,0.02422,RandomProjection,celltype.l3,42,0.77515
PBMC,215,0.02422,RandomProjection,celltype.l3,2303,0.7979
PBMC,215,0.02422,RandomProjection,celltype.l3,2701,0.77515
PBMC,215,0.02422,SCVI,celltype.l3,42,1.73279
PBMC,215,0.02422,SCVI,celltype.l3,2303,1.80791
PBMC,215,0.02422,SCVI,celltype.l3,2701,1.80309
PBMC,215,0.050973,Geneformer,celltype.l3,42,1.88645
PBMC,215,0.050973,Geneformer,celltype.l3,2303,1.92036
PBMC,215,0.050973,Geneformer,celltype.l3,2701,1.9103
PBMC,215,0.050973,PCA,celltype.l3,42,1.94894
PBMC,215,0.050973,PCA,celltype.l3,2303,1.95735
PBMC,215,0.050973,PCA,celltype.l3,2701,1.97011
PBMC,215,0.050973,RandomProjection,celltype.l3,42,1.18647
PBMC,215,0.050973,RandomProjection,celltype.l3,2303,1.1766
PBMC,215,0.050973,RandomProjection,celltype.l3,2701,1.18647
PBMC,215,0.050973,SCVI,celltype.l3,42,2.10409
PBMC,215,0.050973,SCVI,celltype.l3,2303,1.99803
PBMC,215,0.050973,SCVI,celltype.l3,2701,1.98322
PBMC,215,0.1072766,Geneformer,celltype.l3,42,2.06975
PBMC,215,0.1072766,Geneformer,celltype.l3,2303,2.08378
PBMC,215,0.1072766,Geneformer,celltype.l3,2701,2.04232
PBMC,215,0.1072766,PCA,celltype.l3,42,2.29992
PBMC,215,0.1072766,PCA,celltype.l3,2303,2.30987
PBMC,215,0.1072766,PCA,celltype.l3,2701,2.33987
PBMC,215,0.1072766,RandomProjection,celltype.l3,42,1.54612
PBMC,215,0.1072766,RandomProjection,celltype.l3,2303,1.55153
PBMC,215,0.1072766,RandomProjection,celltype.l3,2701,1.54612
PBMC,215,0.1072766,SCVI,celltype.l3,42,2.34843
PBMC,215,0.1072766,SCVI,celltype.l3,2303,2.42285
PBMC,215,0.1072766,SCVI,celltype.l3,2701,2.44613
PBMC,215,0.225772,Geneformer,celltype.l3,42,2.1307
PBMC,215,0.225772,Geneformer,celltype.l3,2303,2.17085
PBMC,215,0.225772,Geneformer,celltype.l3,2701,2.13807
PBMC,215,0.225772,PCA,celltype.l3,42,2.59438
PBMC,215,0.225772,PCA,celltype.l3,2303,2.63806
PBMC,215,0.225772,PCA,celltype.l3,2701,2.60973
PBMC,215,0.225772,RandomProjection,celltype.l3,42,1.86693
PBMC,215,0.225772,RandomProjection,celltype.l3,2303,1.8254
PBMC,215,0.225772,RandomProjection,celltype.l3,2701,1.86693
PBMC,215,0.225772,SCVI,celltype.l3,42,2.64904
PBMC,215,0.225772,SCVI,celltype.l3,2303,2.66236
PBMC,215,0.225772,SCVI,celltype.l3,2701,2.66616
PBMC,215,0.4751547,Geneformer,celltype.l3,42,2.23667
PBMC,215,0.4751547,Geneformer,celltype.l3,2303,2.30779
PBMC,215,0.4751547,Geneformer,celltype.l3,2701,2.24933
PBMC,215,0.4751547,PCA,celltype.l3,42,2.9136
PBMC,215,0.4751547,PCA,celltype.l3,2303,2.96527
PBMC,215,0.4751547,PCA,celltype.l3,2701,2.93534
PBMC,215,0.4751547,RandomProjection,celltype.l3,42,2.17521
PBMC,215,0.4751547,RandomProjection,celltype.l3,2303,2.13161
PBMC,215,0.4751547,RandomProjection,celltype.l3,2701,2.17521
PBMC,215,0.4751547,SCVI,celltype.l3,42,2.69883
PBMC,215,0.4751547,SCVI,celltype.l3,2303,2.73298
PBMC,215,0.4751547,SCVI,celltype.l3,2701,2.75974
PBMC,215,1.0,Geneformer,celltype.l3,42,2.49116
PBMC,215,1.0,Geneformer,celltype.l3,2303,2.51799
PBMC,215,1.0,Geneformer,celltype.l3,2701,2.48135
PBMC,215,1.0,PCA,celltype.l3,42,3.17522
PBMC,215,1.0,PCA,celltype.l3,2303,3.19533
PBMC,215,1.0,PCA,celltype.l3,2701,3.20126
PBMC,215,1.0,RandomProjection,celltype.l3,42,2.4237
PBMC,215,1.0,RandomProjection,celltype.l3,2303,2.38083
PBMC,215,1.0,RandomProjection,celltype.l3,2701,2.4237
PBMC,215,1.0,SCVI,celltype.l3,42,2.74736
PBMC,215,1.0,SCVI,celltype.l3,2303,2.83071
PBMC,215,1.0,SCVI,celltype.l3,2701,2.8906
PBMC,464,0.0012346,Geneformer,celltype.l3,42,0.59655
PBMC,464,0.0012346,Geneformer,celltype.l3,2303,0.57715
PBMC,464,0.0012346,Geneformer,celltype.l3,2701,0.59169
PBMC,464,0.0012346,PCA,celltype.l3,42,1.86447
PBMC,464,0.0012346,PCA,celltype.l3,2303,0.34236
PBMC,464,0.0012346,PCA,celltype.l3,2701,1.865
PBMC,464,0.0012346,RandomProjection,celltype.l3,42,0.17683
PBMC,464,0.0012346,RandomProjection,celltype.l3,2303,0.17462
PBMC,464,0.0012346,RandomProjection,celltype.l3,2701,0.17683
PBMC,464,0.0012346,SCVI,celltype.l3,42,0.27268
PBMC,464,0.0012346,SCVI,celltype.l3,2303,0.25241
PBMC,464,0.0012346,SCVI,celltype.l3,2701,0.26923
PBMC,464,0.0025982,Geneformer,celltype.l3,42,0.91457
PBMC,464,0.0025982,Geneformer,celltype.l3,2303,0.94419
PBMC,464,0.0025982,Geneformer,celltype.l3,2701,0.94989
PBMC,464,0.0025982,PCA,celltype.l3,42,1.73611
PBMC,464,0.0025982,PCA,celltype.l3,2303,0.61444
PBMC,464,0.0025982,PCA,celltype.l3,2701,1.73195
PBMC,464,0.0025982,RandomProjection,celltype.l3,42,0.20138
PBMC,464,0.0025982,RandomProjection,celltype.l3,2303,0.20576
PBMC,464,0.0025982,RandomProjection,celltype.l3,2701,0.20138
PBMC,464,0.0025982,SCVI,celltype.l3,42,0.58314
PBMC,464,0.0025982,SCVI,celltype.l3,2303,0.53779
PBMC,464,0.0025982,SCVI,celltype.l3,2701,0.56137
