dataset,size,quality,algorithm,signal,seed
merfish,843,1.0,Geneformer,cur_idx,2701
merfish,1716,0.027248,Geneformer,cur_idx,1404
merfish,1716,0.027248,Geneformer,cur_idx,2303
merfish,1716,0.027248,Geneformer,cur_idx,2701
merfish,1716,0.0406617,Geneformer,cur_idx,1404
merfish,1716,0.0406617,Geneformer,cur_idx,2303
merfish,1716,0.0406617,Geneformer,cur_idx,2701
merfish,1716,0.0606789,Geneformer,cur_idx,1404
merfish,1716,0.0606789,Geneformer,cur_idx,2303
merfish,1716,0.0606789,Geneformer,cur_idx,2701
merfish,1716,0.0905502,Geneformer,cur_idx,1404
merfish,1716,0.0905502,Geneformer,cur_idx,2303
merfish,1716,0.0905502,Geneformer,cur_idx,2701
merfish,1716,0.1351267,Geneformer,cur_idx,1404
merfish,1716,0.1351267,Geneformer,cur_idx,2303
merfish,1716,0.1351267,Geneformer,cur_idx,2701
merfish,1716,0.2016475,Geneformer,cur_idx,1404
merfish,1716,0.2016475,Geneformer,cur_idx,2303
merfish,1716,0.2016475,Geneformer,cur_idx,2701
merfish,1716,0.3009156,Geneformer,cur_idx,1404
merfish,1716,0.3009156,Geneformer,cur_idx,2303
merfish,1716,0.3009156,Geneformer,cur_idx,2701
merfish,1716,0.4490518,Geneformer,cur_idx,1404
merfish,1716,0.4490518,Geneformer,cur_idx,2303
merfish,1716,0.4490518,Geneformer,cur_idx,2701
merfish,1716,0.6701133,Geneformer,cur_idx,1404
merfish,1716,0.6701133,Geneformer,cur_idx,2303
merfish,1716,0.6701133,Geneformer,cur_idx,2701
merfish,1716,1.0,Geneformer,cur_idx,1404
merfish,1716,1.0,Geneformer,cur_idx,2303
merfish,1716,1.0,Geneformer,cur_idx,2701
merfish,3494,0.027248,Geneformer,cur_idx,1404
merfish,3494,0.027248,Geneformer,cur_idx,2303
merfish,3494,0.027248,Geneformer,cur_idx,2701
merfish,3494,0.0406617,Geneformer,cur_idx,1404
merfish,3494,0.0406617,Geneformer,cur_idx,2303
merfish,3494,0.0406617,Geneformer,cur_idx,2701
merfish,3494,0.0606789,Geneformer,cur_idx,1404
merfish,3494,0.0606789,Geneformer,cur_idx,2303
merfish,3494,0.0606789,Geneformer,cur_idx,2701
merfish,3494,0.0905502,Geneformer,cur_idx,1404
merfish,3494,0.0905502,Geneformer,cur_idx,2303
merfish,3494,0.0905502,Geneformer,cur_idx,2701
merfish,3494,0.1351267,Geneformer,cur_idx,1404
merfish,3494,0.1351267,Geneformer,cur_idx,2303
merfish,3494,0.1351267,Geneformer,cur_idx,2701
merfish,3494,0.2016475,Geneformer,cur_idx,1404
merfish,3494,0.2016475,Geneformer,cur_idx,2303
merfish,3494,0.2016475,Geneformer,cur_idx,2701
merfish,3494,0.3009156,Geneformer,cur_idx,1404
merfish,3494,0.3009156,Geneformer,cur_idx,2303
merfish,3494,0.3009156,Geneformer,cur_idx,2701
merfish,3494,0.4490518,Geneformer,cur_idx,1404
merfish,3494,0.4490518,Geneformer,cur_idx,2303
merfish,3494,0.4490518,Geneformer,cur_idx,2701
merfish,3494,0.6701133,Geneformer,cur_idx,1404
merfish,3494,0.6701133,Geneformer,cur_idx,2303
