seed,noise_level,eta,sigma_meas_sq,sigma_M,sigma_M_sq_ratio,sigma_M_sq,n_per_batch,k,MI,test_acc,MI_std_if_estimator_provides_it
0,0.05,399.99999999999994,0.0025000000000000005,0.0,0.0,0.0,100.0,100,0.438839067708122,0.4689,
0,0.05,399.99999999999994,0.0025000000000000005,0.14142135623730953,8.000000000000002,0.020000000000000007,100.0,100,0.4096896146831801,0.4801,
0,0.05,399.99999999999994,0.0025000000000000005,0.28284271247461906,32.00000000000001,0.08000000000000003,100.0,100,0.34496981471435717,0.4248,
0,0.05,399.99999999999994,0.0025000000000000005,0.5656854249492381,128.00000000000003,0.3200000000000001,100.0,100,0.13727834252309057,0.3544,
0,0.1,99.99999999999999,0.010000000000000002,0.0,0.0,0.0,100.0,100,0.43091978518922724,0.4854,
0,0.1,99.99999999999999,0.010000000000000002,0.14142135623730953,2.0000000000000004,0.020000000000000007,100.0,100,0.38554130187554136,0.4726,
0,0.1,99.99999999999999,0.010000000000000002,0.28284271247461906,8.000000000000002,0.08000000000000003,100.0,100,0.3815368611000074,0.468,
0,0.1,99.99999999999999,0.010000000000000002,0.5656854249492381,32.00000000000001,0.3200000000000001,100.0,100,0.13072002667785654,0.356,
0,0.2,24.999999999999996,0.04000000000000001,0.0,0.0,0.0,100.0,100,0.4048957284450725,0.4667,
0,0.2,24.999999999999996,0.04000000000000001,0.14142135623730953,0.5000000000000001,0.020000000000000007,100.0,100,0.36122460955441404,0.458,
0,0.2,24.999999999999996,0.04000000000000001,0.28284271247461906,2.0000000000000004,0.08000000000000003,100.0,100,0.3004023181390254,0.4029,
0,0.2,24.999999999999996,0.04000000000000001,0.5656854249492381,8.000000000000002,0.3200000000000001,100.0,100,0.170604010757601,0.3544,
0,0.4,6.249999999999999,0.16000000000000003,0.0,0.0,0.0,100.0,100,0.301712809468591,0.432,
0,0.4,6.249999999999999,0.16000000000000003,0.14142135623730953,0.12500000000000003,0.020000000000000007,100.0,100,0.26259563069241354,0.4128,
0,0.4,6.249999999999999,0.16000000000000003,0.28284271247461906,0.5000000000000001,0.08000000000000003,100.0,100,0.214477212878184,0.3688,
0,0.4,6.249999999999999,0.16000000000000003,0.5656854249492381,2.0000000000000004,0.3200000000000001,100.0,100,0.06223174376751528,0.3347,
0,0.8,1.5624999999999998,0.6400000000000001,0.0,0.0,0.0,100.0,100,0.12969326017170424,0.3523,
0,0.8,1.5624999999999998,0.6400000000000001,0.14142135623730953,0.03125000000000001,0.020000000000000007,100.0,100,0.10445256707042816,0.3438,
0,0.8,1.5624999999999998,0.6400000000000001,0.28284271247461906,0.12500000000000003,0.08000000000000003,100.0,100,0.06958593125865153,0.3375,
0,0.8,1.5624999999999998,0.6400000000000001,0.5656854249492381,0.5000000000000001,0.3200000000000001,100.0,100,0.0,0.3271,
