seed,noise_level,quality,eta,sigma_meas_sq,sigma_M,sigma_M_sq,sigma_M_sq_ratio,k,MI
2,0.0625,0.0625,0.0625,16.0,1.0,1.0,0.0625,20,1.8092237600334973
0,0.03125,0.03125,0.03125,32.0,0.0,0.0,0.0,20,2.407080884097845
0,0.015625,0.015625,0.015625,64.0,0.0,0.0,0.0,20,2.0377780484754515
0,0.0078125,0.0078125,0.0078125,128.0,0.0,0.0,0.0,20,1.6894386416502647
0,0.00390625,0.00390625,0.00390625,256.0,0.0,0.0,0.0,20,1.1545974977995523
1,0.03125,0.03125,0.03125,32.0,0.0,0.0,0.0,20,2.397713054204465
1,0.015625,0.015625,0.015625,64.0,0.0,0.0,0.0,20,2.048223800928045
1,0.0078125,0.0078125,0.0078125,128.0,0.0,0.0,0.0,20,1.6756509343321098
1,0.00390625,0.00390625,0.00390625,256.0,0.0,0.0,0.0,20,1.1809625384229474
2,0.03125,0.03125,0.03125,32.0,0.0,0.0,0.0,20,2.421665856350786
2,0.015625,0.015625,0.015625,64.0,0.0,0.0,0.0,20,2.080274010003971
2,0.0078125,0.0078125,0.0078125,128.0,0.0,0.0,0.0,20,1.7012736411771845
2,0.00390625,0.00390625,0.00390625,256.0,0.0,0.0,0.0,20,1.1998605801771154
