noise_level,mutual_information,true/error
0.9990009990009991,-0.006791103726676822,0.000999999999999855
0.9956252519533669,0.0014041395774021816,0.004393970560760721
0.9810587215441362,0.004956002344537035,0.019306977288832614
0.9217997710616811,0.013568689160612803,0.08483428982440724
0.7284597871804278,0.21077045298244057,0.37275937203149423
0.37909033156407373,0.11066593921950696,1.6378937069540649
0.1219979844638072,0.17696973493243404,7.196856730011529
0.030653430031715508,0.22579923208428898,31.622776601683796
0.00714543207906446,0.2798665999759359,138.94954943731386
0.001635215397944254,0.3201554770547439,610.5402296585339
0.0003726204742575035,0.3646063566233967,2682.6957952797275
8.482709357816551e-05,0.3836685715911548,11787.68634793589
1.9306604536657145e-05,0.36594548928535453,51794.74679231223
4.3939512538683315e-06,0.3881472515040879,227584.5926074791
9.99999000001e-07,0.4012710415185914,999999.9999999999
