seed,noise_level,eta,sigma_meas_sq,sigma_M,sigma_M_sq_ratio,sigma_M_sq,n_per_batch,k,MI,test_acc,MI_std_if_estimator_provides_it
0,0.05,399.99999999999994,0.0025000000000000005,0.0,0.0,0.0,100.0,100,0.428267272242703,0.4783,
0,0.05,399.99999999999994,0.0025000000000000005,0.14142135623730953,8.000000000000002,0.020000000000000007,100.0,100,0.4122500596281764,0.4805,
0,0.05,399.99999999999994,0.0025000000000000005,0.28284271247461906,32.00000000000001,0.08000000000000003,100.0,100,0.3411564915922991,0.4369,
0,0.05,399.99999999999994,0.0025000000000000005,0.5656854249492381,128.00000000000003,0.3200000000000001,100.0,100,0.12844539577837022,0.357,
0,0.05,399.99999999999994,0.0025000000000000005,0.8485281374238571,288.0,0.7200000000000002,100.0,100,0.1610974731593089,0.3539,
0,0.05,399.99999999999994,0.0025000000000000005,1.1313708498984762,512.0000000000001,1.2800000000000005,100.0,100,0.031394474845722,0.329,
0,0.1,99.99999999999999,0.010000000000000002,0.0,0.0,0.0,100.0,100,0.4134453789648598,0.4796,
0,0.1,99.99999999999999,0.010000000000000002,0.14142135623730953,2.0000000000000004,0.020000000000000007,100.0,100,0.3739449578647691,0.4722,
0,0.1,99.99999999999999,0.010000000000000002,0.28284271247461906,8.000000000000002,0.08000000000000003,100.0,100,0.34406516823295785,0.4545,
0,0.1,99.99999999999999,0.010000000000000002,0.5656854249492381,32.00000000000001,0.3200000000000001,100.0,100,0.1301663532774131,0.3561,
0,0.1,99.99999999999999,0.010000000000000002,0.8485281374238571,72.0,0.7200000000000002,100.0,100,0.11907203713071057,0.3514,
0,0.1,99.99999999999999,0.010000000000000002,1.1313708498984762,128.00000000000003,1.2800000000000005,100.0,100,0.04229916516456145,0.3314,
0,0.2,24.999999999999996,0.04000000000000001,0.0,0.0,0.0,100.0,100,0.36167702304835725,0.4534,
0,0.2,24.999999999999996,0.04000000000000001,0.14142135623730953,0.5000000000000001,0.020000000000000007,100.0,100,0.320268504594984,0.4383,
0,0.2,24.999999999999996,0.04000000000000001,0.28284271247461906,2.0000000000000004,0.08000000000000003,100.0,100,0.255682899500536,0.3703,
0,0.2,24.999999999999996,0.04000000000000001,0.5656854249492381,8.000000000000002,0.3200000000000001,100.0,100,0.17310754969087405,0.3709,
0,0.2,24.999999999999996,0.04000000000000001,0.8485281374238571,18.0,0.7200000000000002,100.0,100,0.04028638581250199,0.3371,
0,0.2,24.999999999999996,0.04000000000000001,1.1313708498984762,32.00000000000001,1.2800000000000005,100.0,100,0.04234567141661261,0.32,
0,0.4,6.249999999999999,0.16000000000000003,0.0,0.0,0.0,100.0,100,0.3088535434364057,0.4383,
0,0.4,6.249999999999999,0.16000000000000003,0.14142135623730953,0.12500000000000003,0.020000000000000007,100.0,100,0.2720814707562864,0.4176,
0,0.4,6.249999999999999,0.16000000000000003,0.28284271247461906,0.5000000000000001,0.08000000000000003,100.0,100,0.21273184902241882,0.3592,
0,0.4,6.249999999999999,0.16000000000000003,0.5656854249492381,2.0000000000000004,0.3200000000000001,100.0,100,0.08050617466299181,0.349,
0,0.4,6.249999999999999,0.16000000000000003,0.8485281374238571,4.5,0.7200000000000002,100.0,100,0.030897905843677798,0.3034,
0,0.4,6.249999999999999,0.16000000000000003,1.1313708498984762,8.000000000000002,1.2800000000000005,100.0,100,0.004089904796302335,0.2962,
0,0.8,1.5624999999999998,0.6400000000000001,0.0,0.0,0.0,100.0,100,0.13687647886739596,0.3519,
0,0.8,1.5624999999999998,0.6400000000000001,0.14142135623730953,0.03125000000000001,0.020000000000000007,100.0,100,0.10411603427997163,0.3428,
0,0.8,1.5624999999999998,0.6400000000000001,0.28284271247461906,0.12500000000000003,0.08000000000000003,100.0,100,0.07682045701613616,0.34,
0,0.8,1.5624999999999998,0.6400000000000001,0.5656854249492381,0.5000000000000001,0.3200000000000001,100.0,100,0.0,0.3271,
0,0.8,1.5624999999999998,0.6400000000000001,0.8485281374238571,1.125,0.7200000000000002,100.0,100,0.0009742527179228411,0.3201,
0,0.8,1.5624999999999998,0.6400000000000001,1.1313708498984762,2.0000000000000004,1.2800000000000005,100.0,100,0.0005948526028252132,0.3268,
0,1.6,0.39062499999999994,2.5600000000000005,0.0,0.0,0.0,100.0,100,0.00144920848539698,0.3134,
0,1.6,0.39062499999999994,2.5600000000000005,0.14142135623730953,0.007812500000000002,0.020000000000000007,100.0,100,0.0013896112440296982,0.3242,
0,1.6,0.39062499999999994,2.5600000000000005,0.28284271247461906,0.03125000000000001,0.08000000000000003,100.0,100,0.0005062764828496213,0.3257,
0,1.6,0.39062499999999994,2.5600000000000005,0.5656854249492381,0.12500000000000003,0.3200000000000001,100.0,100,0.0010921734316107212,0.2803,
0,1.6,0.39062499999999994,2.5600000000000005,0.8485281374238571,0.28125,0.7200000000000002,100.0,100,0.0008931672651213418,0.3193,
0,1.6,0.39062499999999994,2.5600000000000005,1.1313708498984762,0.5000000000000001,1.2800000000000005,100.0,100,0.0006041887934724599,0.3161,
