seed,noise_level,quality,eta,sigma_meas_sq,sigma_M,sigma_M_sq,sigma_M_sq_ratio,k,MI
2,0.5,0.5,0.5,2.0,0.25,0.0625,0.03125,20,3.7035305282062376
2,0.5,0.5,0.5,2.0,0.5,0.25,0.125,20,3.6095562824486715
2,0.5,0.5,0.5,2.0,0.75,0.5625,0.28125,20,3.196706165335672
2,0.5,0.5,0.5,2.0,1.0,1.0,0.5,20,2.753437043182125
2,0.25,0.25,0.25,4.0,0.0,0.0,0.0,20,3.359495314265469
2,0.25,0.25,0.25,4.0,0.25,0.0625,0.015625,20,3.3877189955384828
2,0.25,0.25,0.25,4.0,0.5,0.25,0.0625,20,3.2468330043866396
2,0.25,0.25,0.25,4.0,0.75,0.5625,0.140625,20,2.9638959598649537
2,0.25,0.25,0.25,4.0,1.0,1.0,0.25,20,2.752569180480463
2,0.125,0.125,0.125,8.0,0.0,0.0,0.0,20,3.0631909474864623
2,0.125,0.125,0.125,8.0,0.25,0.0625,0.0078125,20,3.06233642425627
2,0.125,0.125,0.125,8.0,0.5,0.25,0.03125,20,2.9224759434998218
2,0.125,0.125,0.125,8.0,0.75,0.5625,0.0703125,20,2.7603916465541674
2,0.125,0.125,0.125,8.0,1.0,1.0,0.125,20,2.634345756460183
2,0.0625,0.0625,0.0625,16.0,0.0,0.0,0.0,20,2.6851719689623192
2,0.0625,0.0625,0.0625,16.0,0.25,0.0625,0.00390625,20,2.6633999807408113
2,0.0625,0.0625,0.0625,16.0,0.5,0.25,0.015625,20,2.6602943420490894
2,0.0625,0.0625,0.0625,16.0,0.75,0.5625,0.03515625,20,2.529845350509997
2,0.0625,0.0625,0.0625,16.0,1.0,1.0,0.0625,20,2.4802027555799255
2,0.03125,0.03125,0.03125,32.0,0.0,0.0,0.0,20,2.421665856350786
2,0.015625,0.015625,0.015625,64.0,0.0,0.0,0.0,20,2.080274010003971
2,0.0078125,0.0078125,0.0078125,128.0,0.0,0.0,0.0,20,1.7012736411771845
2,0.00390625,0.00390625,0.00390625,256.0,0.0,0.0,0.0,20,1.1998605801771154
