dataset,size,quality,size_rank,curve,step,loss,is_best_checkpoint
PBMC,100,0.225772,small,val,2000,8.415743827819824,False
PBMC,100,0.225772,small,val,3000,10.909589767456055,False
PBMC,100,0.225772,small,val,4000,13.453540802001953,False
PBMC,100,0.225772,small,val,5000,15.006017684936523,False
PBMC,100,0.225772,small,val,6000,16.500886917114258,False
PBMC,100,0.225772,small,val,1000,8.263925552368164,True
PBMC,100,0.4751547,small,train,1000,8.5467,False
PBMC,100,0.4751547,small,train,2000,4.1967,False
PBMC,100,0.4751547,small,train,3000,0.6822,False
PBMC,100,0.4751547,small,train,4000,0.1035,False
PBMC,100,0.4751547,small,train,5000,0.0519,False
PBMC,100,0.4751547,small,train,6000,0.038,False
PBMC,100,0.4751547,small,val,1000,8.78622055053711,False
PBMC,100,0.4751547,small,val,2000,9.812261581420898,False
PBMC,100,0.4751547,small,val,3000,12.541777610778809,False
PBMC,100,0.4751547,small,val,4000,14.121501922607422,False
PBMC,100,0.4751547,small,val,5000,15.568117141723633,False
PBMC,100,0.4751547,small,val,6000,17.091983795166016,False
PBMC,100,0.4751547,small,val,1000,8.78622055053711,True
PBMC,100,1.0,small,train,1000,8.4538,False
PBMC,100,1.0,small,train,2000,4.4065,False
PBMC,100,1.0,small,train,3000,0.9124,False
PBMC,100,1.0,small,train,4000,0.1493,False
PBMC,100,1.0,small,train,5000,0.0734,False
PBMC,100,1.0,small,train,6000,0.0541,False
PBMC,100,1.0,small,val,1000,8.514765739440918,False
PBMC,100,1.0,small,val,2000,9.922281265258789,False
PBMC,100,1.0,small,val,3000,12.894540786743164,False
PBMC,100,1.0,small,val,4000,14.860970497131348,False
PBMC,100,1.0,small,val,5000,16.516250610351562,False
PBMC,100,1.0,small,val,6000,18.192602157592773,False
PBMC,100,1.0,small,val,1000,8.514765739440918,True
PBMC,4641,0.0012346,medium,train,1000,7.4051,False
PBMC,4641,0.0012346,medium,train,2000,5.6871,False
PBMC,4641,0.0012346,medium,train,3000,5.0804,False
PBMC,4641,0.0012346,medium,train,4000,4.3648,False
PBMC,4641,0.0012346,medium,train,5000,3.4385,False
PBMC,4641,0.0012346,medium,train,6000,2.7818,False
PBMC,4641,0.0012346,medium,train,7000,2.2536,False
PBMC,4641,0.0012346,medium,train,8000,1.89,False
PBMC,4641,0.0012346,medium,val,1000,5.533697128295898,False
PBMC,4641,0.0012346,medium,val,2000,4.827999114990234,False
PBMC,4641,0.0012346,medium,val,3000,4.656758785247803,False
PBMC,4641,0.0012346,medium,val,4000,4.885457515716553,False
PBMC,4641,0.0012346,medium,val,5000,5.341101169586182,False
PBMC,4641,0.0012346,medium,val,6000,5.791015625,False
PBMC,4641,0.0012346,medium,val,7000,6.390285491943359,False
PBMC,4641,0.0012346,medium,val,8000,7.140082359313965,False
PBMC,4641,0.0012346,medium,val,3000,4.656758785247803,True
PBMC,4641,0.0025982,medium,train,1000,7.537,False
PBMC,4641,0.0025982,medium,train,2000,5.7985,False
PBMC,4641,0.0025982,medium,train,3000,4.9981,False
PBMC,4641,0.0025982,medium,train,4000,4.3069,False
PBMC,4641,0.0025982,medium,train,5000,3.5544,False
PBMC,4641,0.0025982,medium,train,6000,2.9006,False
PBMC,4641,0.0025982,medium,train,7000,2.3966,False
PBMC,4641,0.0025982,medium,train,8000,2.0057,False
PBMC,4641,0.0025982,medium,train,9000,1.7056,False
PBMC,4641,0.0025982,medium,val,1000,5.915289402008057,False
