dataset,method,signal,size,quality,mi
PBMC,finetune_se_100m_state,protein_counts,100000,0.0012346,0.53507
PBMC,finetune_se_100m_state,protein_counts,100000,0.0025982,0.68356
PBMC,finetune_se_100m_state,protein_counts,100000,0.0054682,0.88306
PBMC,finetune_se_100m_state,protein_counts,100000,0.0115083,1.31905
PBMC,finetune_se_100m_state,protein_counts,100000,0.02422,1.81665
PBMC,finetune_se_100m_state,protein_counts,100000,0.050973,2.18614
PBMC,finetune_se_100m_state,protein_counts,100000,0.1072766,2.70121
PBMC,finetune_se_100m_state,protein_counts,100000,0.225772,3.38875
PBMC,finetune_se_100m_state,protein_counts,100000,0.4751547,3.93295
PBMC,finetune_se_100m_state,protein_counts,100000,1.0,4.25109
