dataset,algo,size,quality,probe,value
PBMC,Geneformer,46415,0.0054682,ridge_mean_r2,0.0665329714747257
PBMC,Geneformer,46415,0.0115083,ridge_mean_r2,0.1683548069568787
PBMC,Geneformer,46415,0.02422,ridge_mean_r2,0.1795798900475989
PBMC,Geneformer,46415,0.050973,ridge_mean_r2,0.20541450263737265
PBMC,Geneformer,46415,0.1072766,ridge_mean_r2,0.1603617622545014
PBMC,Geneformer,46415,0.225772,ridge_mean_r2,0.25106274541172785
PBMC,Geneformer,46415,0.4751547,ridge_mean_r2,0.2757685923480938
PBMC,Geneformer,46415,1.0,ridge_mean_r2,0.2670796065203839
PBMC,Geneformer,100000,0.0012346,ridge_mean_r2,-0.17504692101170655
PBMC,Geneformer,100000,0.0025982,ridge_mean_r2,-0.11274111721895243
PBMC,Geneformer,100000,0.0054682,ridge_mean_r2,0.05921964672777898
PBMC,Geneformer,100000,0.0115083,ridge_mean_r2,0.16692369057526557
PBMC,Geneformer,100000,0.02422,ridge_mean_r2,0.18949360092302858
PBMC,Geneformer,100000,0.050973,ridge_mean_r2,0.20902254504061663
PBMC,Geneformer,100000,0.1072766,ridge_mean_r2,0.1473274418323017
PBMC,Geneformer,100000,0.225772,ridge_mean_r2,0.2382670048037198
PBMC,Geneformer,100000,0.4751547,ridge_mean_r2,0.2673624149628754
PBMC,Geneformer,100000,1.0,ridge_mean_r2,0.26094425876182037
PBMC,PCA,100,0.0012346,ridge_mean_r2,0.03297020090026717
PBMC,PCA,100,0.0025982,ridge_mean_r2,0.06832661192310886
PBMC,PCA,100,0.0054682,ridge_mean_r2,0.09020739410356765
PBMC,PCA,100,0.0115083,ridge_mean_r2,0.11836954185953012
PBMC,PCA,100,0.02422,ridge_mean_r2,0.14236475470595064
PBMC,PCA,100,0.050973,ridge_mean_r2,0.18478960498414806
PBMC,PCA,100,0.1072766,ridge_mean_r2,0.20557150547060504
PBMC,PCA,100,0.225772,ridge_mean_r2,0.2184842284466792
PBMC,PCA,100,0.4751547,ridge_mean_r2,0.22859848301266267
PBMC,PCA,100,1.0,ridge_mean_r2,0.24054253496157774
PBMC,PCA,215,0.0012346,ridge_mean_r2,0.03382202847484044
PBMC,PCA,215,0.0025982,ridge_mean_r2,0.07398046304917244
PBMC,PCA,215,0.0054682,ridge_mean_r2,0.09930420089792573
PBMC,PCA,215,0.0115083,ridge_mean_r2,0.14067200362153204
PBMC,PCA,215,0.02422,ridge_mean_r2,0.16567290968368117
PBMC,PCA,215,0.050973,ridge_mean_r2,0.18679457049546336
PBMC,PCA,215,0.1072766,ridge_mean_r2,0.210300302214467
PBMC,PCA,215,0.225772,ridge_mean_r2,0.22381967098613045
PBMC,PCA,215,0.4751547,ridge_mean_r2,0.24066768060452826
PBMC,PCA,215,1.0,ridge_mean_r2,0.25117516820089036
PBMC,PCA,464,0.0012346,ridge_mean_r2,0.035201015519341634
PBMC,PCA,464,0.0025982,ridge_mean_r2,0.07565164833227246
PBMC,PCA,464,0.0054682,ridge_mean_r2,0.10190151457679429
PBMC,PCA,464,0.0115083,ridge_mean_r2,0.13320345440442552
PBMC,PCA,464,0.02422,ridge_mean_r2,0.1617395436962921
PBMC,PCA,464,0.050973,ridge_mean_r2,0.19631129751575516
PBMC,PCA,464,0.1072766,ridge_mean_r2,0.21111688634199657
PBMC,PCA,464,0.225772,ridge_mean_r2,0.22501358801070578
PBMC,PCA,464,0.4751547,ridge_mean_r2,0.2384019187820556
PBMC,PCA,464,1.0,ridge_mean_r2,0.24924562850661205
PBMC,PCA,1000,0.0012346,ridge_mean_r2,0.038223141094363096
PBMC,PCA,1000,0.0025982,ridge_mean_r2,0.07585433062041076
PBMC,PCA,1000,0.0054682,ridge_mean_r2,0.10168732264889811
PBMC,PCA,1000,0.0115083,ridge_mean_r2,0.13895232824102347
PBMC,PCA,1000,0.02422,ridge_mean_r2,0.1703809174026278
PBMC,PCA,1000,0.050973,ridge_mean_r2,0.1945549421199767
PBMC,PCA,1000,0.1072766,ridge_mean_r2,0.2137509247746723
PBMC,PCA,1000,0.225772,ridge_mean_r2,0.22799372863018658
PBMC,PCA,1000,0.4751547,ridge_mean_r2,0.24662004824515354
PBMC,PCA,1000,1.0,ridge_mean_r2,0.2570577050588212
PBMC,PCA,2154,0.0012346,ridge_mean_r2,0.032899486224269976
PBMC,PCA,2154,0.0025982,ridge_mean_r2,0.07044847420662664
PBMC,PCA,2154,0.0054682,ridge_mean_r2,0.09743026135298137
PBMC,PCA,2154,0.0115083,ridge_mean_r2,0.1384137356717571
PBMC,PCA,2154,0.02422,ridge_mean_r2,0.17107310837755366
PBMC,PCA,2154,0.050973,ridge_mean_r2,0.19370344485982968
PBMC,PCA,2154,0.1072766,ridge_mean_r2,0.2121907900519727
PBMC,PCA,2154,0.225772,ridge_mean_r2,0.22788443623392357
PBMC,PCA,2154,0.4751547,ridge_mean_r2,0.2464819798253405
PBMC,PCA,2154,1.0,ridge_mean_r2,0.2572005802130207
PBMC,PCA,4641,0.0012346,ridge_mean_r2,0.035421081940827964
PBMC,PCA,4641,0.0025982,ridge_mean_r2,0.07198504346971689
PBMC,PCA,4641,0.0054682,ridge_mean_r2,0.09800296326680459
PBMC,PCA,4641,0.0115083,ridge_mean_r2,0.13054817010761163
PBMC,PCA,4641,0.02422,ridge_mean_r2,0.17572799434547223
PBMC,PCA,4641,0.050973,ridge_mean_r2,0.19618380973340335
PBMC,PCA,4641,0.1072766,ridge_mean_r2,0.2148744284668049
PBMC,PCA,4641,0.225772,ridge_mean_r2,0.23298987750533812
PBMC,PCA,4641,0.4751547,ridge_mean_r2,0.2469236393341559
PBMC,PCA,4641,1.0,ridge_mean_r2,0.2567820996360312
PBMC,PCA,10000,0.0012346,ridge_mean_r2,0.03645363066909918
PBMC,PCA,10000,0.0025982,ridge_mean_r2,0.07186339980927295
PBMC,PCA,10000,0.0054682,ridge_mean_r2,0.09814875168177889
PBMC,PCA,10000,0.0115083,ridge_mean_r2,0.13055764494869462
PBMC,PCA,10000,0.02422,ridge_mean_r2,0.17148088366253636
PBMC,PCA,10000,0.050973,ridge_mean_r2,0.19481448611479182
PBMC,PCA,10000,0.1072766,ridge_mean_r2,0.21542703861770265
PBMC,PCA,10000,0.225772,ridge_mean_r2,0.22869989735471313
PBMC,PCA,10000,0.4751547,ridge_mean_r2,0.24788032372010227
PBMC,PCA,10000,1.0,ridge_mean_r2,0.2576774138377453
PBMC,PCA,21544,0.0012346,ridge_mean_r2,0.036005014584712086
PBMC,PCA,21544,0.0025982,ridge_mean_r2,0.0718519598392424
PBMC,PCA,21544,0.0054682,ridge_mean_r2,0.09832714109574059
PBMC,PCA,21544,0.0115083,ridge_mean_r2,0.13065168343981431
PBMC,PCA,21544,0.02422,ridge_mean_r2,0.17272789179020032
PBMC,PCA,21544,0.050973,ridge_mean_r2,0.19871452806744114
PBMC,PCA,21544,0.1072766,ridge_mean_r2,0.21533572464058365
PBMC,PCA,21544,0.225772,ridge_mean_r2,0.2304531487053305
PBMC,PCA,21544,0.4751547,ridge_mean_r2,0.24712683126631635
PBMC,PCA,21544,1.0,ridge_mean_r2,0.2569001088307876
PBMC,PCA,46415,0.0012346,ridge_mean_r2,0.036378034392619635
PBMC,PCA,46415,0.0025982,ridge_mean_r2,0.07159900155116725
PBMC,PCA,46415,0.0054682,ridge_mean_r2,0.09760965603918446
PBMC,PCA,46415,0.0115083,ridge_mean_r2,0.13051886143978597
PBMC,PCA,46415,0.02422,ridge_mean_r2,0.1723409513608656
PBMC,PCA,46415,0.050973,ridge_mean_r2,0.1978345241768912
PBMC,PCA,46415,0.1072766,ridge_mean_r2,0.21564827895595415
PBMC,PCA,46415,0.225772,ridge_mean_r2,0.23219834931667116
PBMC,PCA,46415,0.4751547,ridge_mean_r2,0.24741964960235044
PBMC,PCA,46415,1.0,ridge_mean_r2,0.2572381993253336
PBMC,PCA,100000,0.0012346,ridge_mean_r2,0.036324875046460155
PBMC,PCA,100000,0.0025982,ridge_mean_r2,0.0716364916190685
PBMC,PCA,100000,0.0054682,ridge_mean_r2,0.097892926652395
PBMC,PCA,100000,0.0115083,ridge_mean_r2,0.130067606903748
PBMC,PCA,100000,0.02422,ridge_mean_r2,0.17239008320755966
PBMC,PCA,100000,0.050973,ridge_mean_r2,0.19681224646839887
PBMC,PCA,100000,0.1072766,ridge_mean_r2,0.2155495862536606
PBMC,PCA,100000,0.225772,ridge_mean_r2,0.2323857833000978
PBMC,PCA,100000,0.4751547,ridge_mean_r2,0.2475802196027416
PBMC,PCA,100000,1.0,ridge_mean_r2,0.2573707262000964
PBMC,RandomProjection,100,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,100,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,100,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,100,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,100,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,100,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,100,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,100,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,100,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,100,1.0,ridge_mean_r2,0.15148649228781003
PBMC,RandomProjection,215,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,215,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,215,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,215,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,215,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,215,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,215,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,215,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,215,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,215,1.0,ridge_mean_r2,0.15148649228781003
PBMC,RandomProjection,464,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,464,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,464,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,464,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,464,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,464,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,464,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,464,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,464,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,464,1.0,ridge_mean_r2,0.15148649228781003
PBMC,RandomProjection,1000,0.0012346,ridge_mean_r2,0.0036245859826477965
PBMC,RandomProjection,1000,0.0025982,ridge_mean_r2,0.013113936348741712
PBMC,RandomProjection,1000,0.0054682,ridge_mean_r2,0.028732307836452017
PBMC,RandomProjection,1000,0.0115083,ridge_mean_r2,0.0501949420642624
PBMC,RandomProjection,1000,0.02422,ridge_mean_r2,0.07401474552555674
PBMC,RandomProjection,1000,0.050973,ridge_mean_r2,0.09776558297724976
PBMC,RandomProjection,1000,0.1072766,ridge_mean_r2,0.11650667470395659
PBMC,RandomProjection,1000,0.225772,ridge_mean_r2,0.13276161741084394
PBMC,RandomProjection,1000,0.4751547,ridge_mean_r2,0.14277659753238864
PBMC,RandomProjection,1000,1.0,ridge_mean_r2,0.15148649228781003
PBMC,RandomProjection,2154,0.0012346,ridge_mean_r2,0.0036245859826477965
