dataset,algo,signal,seed,size,quality,quality_str,step,mi
shendure,Geneformer,author_day,42,359,1.0,1.0,2000,1.21471
shendure,Geneformer,author_day,42,359,1.0,1.0,3000,1.2841
shendure,Geneformer,author_day,42,359,1.0,1.0,4000,1.29281
shendure,Geneformer,author_day,42,359,1.0,1.0,5000,1.30817
shendure,Geneformer,author_day,42,359,1.0,1.0,6000,1.27454
shendure,Geneformer,author_day,42,359,1.0,1.0,7000,1.28905
shendure,Geneformer,author_day,42,1291,0.004,0.004,1000,0.19711
shendure,Geneformer,author_day,42,1291,0.0073875,0.0073875,1000,0.26069
shendure,Geneformer,author_day,42,1291,0.0073875,0.0073875,2000,0.28096
shendure,Geneformer,author_day,42,1291,0.0073875,0.0073875,3000,0.29688
shendure,Geneformer,author_day,42,1291,0.0073875,0.0073875,4000,0.2808
shendure,Geneformer,author_day,42,1291,0.0073875,0.0073875,5000,0.23373
shendure,Geneformer,author_day,42,1291,0.0073875,0.0073875,6000,0.25282
shendure,Geneformer,author_day,42,1291,0.0073875,0.0073875,7000,0.25846
shendure,Geneformer,author_day,42,1291,0.0136438,0.0136438,1000,0.38482
shendure,Geneformer,author_day,42,1291,0.0136438,0.0136438,2000,0.40021
shendure,Geneformer,author_day,42,1291,0.0136438,0.0136438,3000,0.42598
shendure,Geneformer,author_day,42,1291,0.0136438,0.0136438,4000,0.4046
shendure,Geneformer,author_day,42,1291,0.0136438,0.0136438,5000,0.37219
shendure,Geneformer,author_day,42,1291,0.0136438,0.0136438,6000,0.35011
shendure,Geneformer,author_day,42,1291,0.0136438,0.0136438,7000,0.32064
shendure,Geneformer,author_day,42,1291,0.0136438,0.0136438,8000,0.33606
shendure,Geneformer,author_day,42,1291,0.0251984,0.0251984,1000,0.49486
shendure,Geneformer,author_day,42,1291,0.0251984,0.0251984,2000,0.56612
shendure,Geneformer,author_day,42,1291,0.0251984,0.0251984,3000,0.55174
shendure,Geneformer,author_day,42,1291,0.0251984,0.0251984,4000,0.55505
shendure,Geneformer,author_day,42,1291,0.0251984,0.0251984,5000,0.54445
shendure,Geneformer,author_day,42,1291,0.0251984,0.0251984,6000,0.51429
shendure,Geneformer,author_day,42,1291,0.0465384,0.0465384,1000,0.65442
shendure,Geneformer,author_day,42,1291,0.0465384,0.0465384,2000,0.73894
shendure,Geneformer,author_day,42,1291,0.0465384,0.0465384,3000,0.75979
shendure,Geneformer,author_day,42,1291,0.0465384,0.0465384,4000,0.86468
shendure,Geneformer,author_day,42,1291,0.0465384,0.0465384,5000,0.88521
shendure,Geneformer,author_day,42,1291,0.0465384,0.0465384,6000,0.84738
shendure,Geneformer,author_day,42,1291,0.0465384,0.0465384,7000,0.80806
shendure,Geneformer,author_day,42,1291,0.0465384,0.0465384,8000,0.80493
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,1000,0.76532
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,2000,0.86571
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,3000,0.85979
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,4000,0.90549
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,5000,0.99465
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,6000,1.00557
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,7000,1.00871
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,8000,0.99454
shendure,Geneformer,author_day,42,1291,0.0859506,0.0859506,9000,0.98291
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,1000,0.8533
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,2000,0.95695
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,3000,1.06702
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,4000,1.05731
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,5000,1.19101
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,6000,1.20662
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,7000,1.22992
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,8000,1.20289
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,9000,1.24904
shendure,Geneformer,author_day,42,1291,0.1587401,0.1587401,10000,1.20473
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,1000,0.81534
shendure,Geneformer,author_day,42,1291,0.2931733,0.2931733,2000,1.04434
