dataset,algo,quality,size,loss
larry,Geneformer,0.0246748,2154,5.769984
larry,Geneformer,0.0246748,4641,5.438019
larry,Geneformer,0.0246748,10000,4.834075
larry,Geneformer,0.0246748,21544,4.48214
larry,Geneformer,0.0246748,46415,4.293386
larry,Geneformer,0.0246748,100000,4.258
larry,Geneformer,0.0457311,100,8.141479
larry,Geneformer,0.0457311,215,7.600911
larry,Geneformer,0.0457311,464,6.69336
larry,Geneformer,0.0457311,1000,5.991891
larry,Geneformer,0.0457311,2154,5.232524
larry,Geneformer,0.0457311,4641,4.722198
larry,Geneformer,0.0457311,10000,4.249344
larry,Geneformer,0.0457311,21544,4.026927
larry,Geneformer,0.0457311,46415,3.86577
larry,Geneformer,0.0457311,100000,3.862886
larry,Geneformer,0.0847557,100,7.989697
larry,Geneformer,0.0847557,215,7.465457
larry,Geneformer,0.0847557,464,6.444204
larry,Geneformer,0.0847557,1000,5.727036
larry,Geneformer,0.0847557,2154,4.745931
larry,Geneformer,0.0847557,4641,4.205261
larry,Geneformer,0.0847557,10000,3.838531
larry,Geneformer,0.0847557,21544,3.665809
larry,Geneformer,0.0847557,46415,3.528326
larry,Geneformer,0.0847557,100000,3.530705
larry,Geneformer,0.1570821,100,7.987051
larry,Geneformer,0.1570821,215,7.14112
larry,Geneformer,0.1570821,464,6.400553
larry,Geneformer,0.1570821,1000,5.58011
larry,Geneformer,0.1570821,2154,4.253834
larry,Geneformer,0.1570821,4641,3.820535
larry,Geneformer,0.1570821,10000,3.502221
larry,Geneformer,0.1570821,21544,3.327112
larry,Geneformer,0.1570821,46415,3.243778
larry,Geneformer,0.1570821,100000,3.296879
larry,Geneformer,0.2911284,100,8.218531
larry,Geneformer,0.2911284,215,7.266281
larry,Geneformer,0.2911284,464,6.343745
larry,Geneformer,0.2911284,1000,5.344149
larry,Geneformer,0.2911284,2154,4.059901
larry,Geneformer,0.2911284,4641,3.596645
larry,Geneformer,0.2911284,10000,3.364806
larry,Geneformer,0.2911284,21544,3.214293
larry,Geneformer,0.2911284,46415,3.114336
larry,Geneformer,0.2911284,100000,3.149192
larry,Geneformer,0.5395631,100,8.514389
larry,Geneformer,0.5395631,215,7.572996
larry,Geneformer,0.5395631,464,6.5996
larry,Geneformer,0.5395631,1000,5.353413
larry,Geneformer,0.5395631,2154,4.126577
larry,Geneformer,0.5395631,4641,3.604592
larry,Geneformer,0.5395631,10000,3.395902
larry,Geneformer,0.5395631,21544,3.26553
larry,Geneformer,0.5395631,46415,3.147906
larry,Geneformer,0.5395631,100000,3.189655
larry,Geneformer,1.0,100,8.547856
larry,Geneformer,1.0,215,7.983863
larry,Geneformer,1.0,464,6.787494
larry,Geneformer,1.0,1000,5.479877
larry,Geneformer,1.0,2154,4.242415
larry,Geneformer,1.0,4641,3.651783
larry,Geneformer,1.0,10000,3.418653
larry,Geneformer,1.0,21544,3.262167
larry,Geneformer,1.0,46415,3.174
larry,Geneformer,1.0,100000,3.12781
merfish,Geneformer,0.027248,100,5.008484
merfish,Geneformer,0.027248,203,4.574373
merfish,Geneformer,0.027248,414,4.357432
merfish,Geneformer,0.027248,843,4.299988
merfish,Geneformer,0.027248,1716,3.897551
merfish,Geneformer,0.027248,3494,3.655246
merfish,Geneformer,0.027248,7113,3.438738
merfish,Geneformer,0.027248,14480,3.263521
merfish,Geneformer,0.027248,29475,3.258122
merfish,Geneformer,0.027248,60000,3.119665
merfish,Geneformer,0.0406617,100,4.900521
merfish,Geneformer,0.0406617,203,4.514102
merfish,Geneformer,0.0406617,414,4.332539
merfish,Geneformer,0.0406617,843,4.146174
merfish,Geneformer,0.0406617,1716,3.835277
merfish,Geneformer,0.0406617,3494,3.476148
merfish,Geneformer,0.0406617,7113,3.186639
merfish,Geneformer,0.0406617,14480,3.028144
merfish,Geneformer,0.0406617,29475,2.936248
merfish,Geneformer,0.0406617,60000,3.047896
merfish,Geneformer,0.0606789,100,4.904121
merfish,Geneformer,0.0606789,203,4.547206
merfish,Geneformer,0.0606789,414,4.333901
merfish,Geneformer,0.0606789,843,4.146248
merfish,Geneformer,0.0606789,1716,3.764217
merfish,Geneformer,0.0606789,3494,3.290083
merfish,Geneformer,0.0606789,7113,3.037425
merfish,Geneformer,0.0606789,14480,2.915231
merfish,Geneformer,0.0606789,29475,2.82398
merfish,Geneformer,0.0606789,60000,2.852226
merfish,Geneformer,0.0905502,100,4.921766
merfish,Geneformer,0.0905502,203,4.58485
merfish,Geneformer,0.0905502,414,4.378493
merfish,Geneformer,0.0905502,843,4.134599
merfish,Geneformer,0.0905502,1716,3.551238
merfish,Geneformer,0.0905502,3494,3.138968
merfish,Geneformer,0.0905502,7113,2.893509
merfish,Geneformer,0.0905502,14480,2.751809
merfish,Geneformer,0.0905502,29475,2.639169
merfish,Geneformer,0.0905502,60000,2.585922
merfish,Geneformer,0.1351267,100,4.930012
merfish,Geneformer,0.1351267,203,4.641972
merfish,Geneformer,0.1351267,414,4.493363
merfish,Geneformer,0.1351267,843,4.203061
merfish,Geneformer,0.1351267,1716,3.431044
merfish,Geneformer,0.1351267,3494,3.030751
merfish,Geneformer,0.1351267,7113,2.810265
merfish,Geneformer,0.1351267,14480,2.561758
merfish,Geneformer,0.1351267,29475,2.472405
merfish,Geneformer,0.1351267,60000,2.562297
merfish,Geneformer,0.2016475,100,4.981123
merfish,Geneformer,0.2016475,203,4.737763
merfish,Geneformer,0.2016475,414,4.557444
merfish,Geneformer,0.2016475,843,4.225757
merfish,Geneformer,0.2016475,1716,3.290438
merfish,Geneformer,0.2016475,3494,2.958542
merfish,Geneformer,0.2016475,7113,2.760217
merfish,Geneformer,0.2016475,14480,2.449347
merfish,Geneformer,0.2016475,29475,2.406817
merfish,Geneformer,0.2016475,60000,2.40101
merfish,Geneformer,0.3009156,100,5.050901
merfish,Geneformer,0.3009156,203,4.816293
merfish,Geneformer,0.3009156,414,4.676155
merfish,Geneformer,0.3009156,843,4.32561
merfish,Geneformer,0.3009156,1716,3.371943
merfish,Geneformer,0.3009156,3494,2.89678
merfish,Geneformer,0.3009156,7113,2.631404
merfish,Geneformer,0.3009156,14480,2.406472
merfish,Geneformer,0.3009156,29475,2.374053
merfish,Geneformer,0.3009156,60000,2.289195
merfish,Geneformer,0.4490518,100,5.096087
merfish,Geneformer,0.4490518,203,4.912109
merfish,Geneformer,0.4490518,414,4.752583
merfish,Geneformer,0.4490518,843,4.408651
merfish,Geneformer,0.4490518,1716,3.321706
merfish,Geneformer,0.4490518,3494,2.875411
merfish,Geneformer,0.4490518,7113,2.498801
merfish,Geneformer,0.4490518,14480,2.297016
merfish,Geneformer,0.4490518,29475,2.242542
merfish,Geneformer,0.4490518,60000,2.299444
merfish,Geneformer,0.6701133,100,5.124065
merfish,Geneformer,0.6701133,203,4.960144
merfish,Geneformer,0.6701133,414,4.868005
merfish,Geneformer,0.6701133,843,4.462727
merfish,Geneformer,0.6701133,1716,3.232075
merfish,Geneformer,0.6701133,3494,2.793643
merfish,Geneformer,0.6701133,7113,2.479964
merfish,Geneformer,0.6701133,14480,2.347172
merfish,Geneformer,0.6701133,29475,2.267115
merfish,Geneformer,0.6701133,60000,2.179622
merfish,Geneformer,1.0,100,5.202709
merfish,Geneformer,1.0,203,5.016296
merfish,Geneformer,1.0,414,4.895355
merfish,Geneformer,1.0,843,4.498251
merfish,Geneformer,1.0,1716,3.403852
merfish,Geneformer,1.0,3494,2.786316
merfish,Geneformer,1.0,7113,2.524877
merfish,Geneformer,1.0,14480,2.304098
merfish,Geneformer,1.0,29475,2.185369
merfish,Geneformer,1.0,60000,2.304341
shendure,Geneformer,0.004,100,12.858274
shendure,Geneformer,0.004,359,10.755437
shendure,Geneformer,0.004,1291,10.073429
shendure,Geneformer,0.004,4641,7.734203
shendure,Geneformer,0.004,16681,6.767297
shendure,Geneformer,0.004,59948,6.208147
shendure,Geneformer,0.004,215443,6.212446
shendure,Geneformer,0.004,774263,6.097772
shendure,Geneformer,0.004,2782559,6.391111
shendure,Geneformer,0.004,10000000,6.071118
shendure,Geneformer,0.0073875,100,11.948757
shendure,Geneformer,0.0073875,359,10.74497
shendure,Geneformer,0.0073875,1291,7.998425
shendure,Geneformer,0.0073875,4641,7.06081
shendure,Geneformer,0.0073875,16681,6.087593
shendure,Geneformer,0.0073875,59948,5.690916
shendure,Geneformer,0.0073875,215443,5.590398
shendure,Geneformer,0.0073875,774263,5.50987
shendure,Geneformer,0.0073875,2782559,5.476298
shendure,Geneformer,0.0073875,10000000,5.52456
shendure,Geneformer,0.0136438,100,10.782666
shendure,Geneformer,0.0136438,359,8.962875
shendure,Geneformer,0.0136438,1291,7.518661
shendure,Geneformer,0.0136438,4641,6.475282
shendure,Geneformer,0.0136438,16681,5.557356
shendure,Geneformer,0.0136438,59948,5.15035
shendure,Geneformer,0.0136438,215443,5.146095
shendure,Geneformer,0.0136438,774263,5.000434
shendure,Geneformer,0.0136438,2782559,5.05159
shendure,Geneformer,0.0136438,10000000,4.997145
shendure,Geneformer,0.0251984,100,10.780656
shendure,Geneformer,0.0251984,359,10.729872
shendure,Geneformer,0.0251984,1291,9.858749
shendure,Geneformer,0.0251984,4641,5.943665
shendure,Geneformer,0.0251984,16681,5.013859
shendure,Geneformer,0.0251984,59948,4.617129
shendure,Geneformer,0.0251984,215443,4.464042
shendure,Geneformer,0.0251984,774263,4.497879
shendure,Geneformer,0.0251984,2782559,4.491826
shendure,Geneformer,0.0251984,10000000,4.447891
shendure,Geneformer,0.0465384,100,9.309369
shendure,Geneformer,0.0465384,359,8.018016
shendure,Geneformer,0.0465384,1291,6.663225
shendure,Geneformer,0.0465384,4641,5.172993
shendure,Geneformer,0.0465384,16681,7.471554
shendure,Geneformer,0.0465384,59948,4.268293
shendure,Geneformer,0.0465384,215443,4.138552
shendure,Geneformer,0.0465384,774263,4.034472
shendure,Geneformer,0.0465384,2782559,4.017916
shendure,Geneformer,0.0465384,10000000,4.031823
shendure,Geneformer,0.0859506,100,8.968702
shendure,Geneformer,0.0859506,359,7.459804
shendure,Geneformer,0.0859506,1291,5.93574
shendure,Geneformer,0.0859506,4641,4.659715
shendure,Geneformer,0.0859506,16681,7.173302
shendure,Geneformer,0.0859506,59948,3.758518
shendure,Geneformer,0.0859506,215443,3.76254
shendure,Geneformer,0.0859506,774263,3.698241
shendure,Geneformer,0.0859506,2782559,3.720841
shendure,Geneformer,0.0859506,10000000,3.680122
shendure,Geneformer,0.1587401,100,8.935764
shendure,Geneformer,0.1587401,359,7.318453
shendure,Geneformer,0.1587401,1291,5.878212
shendure,Geneformer,0.1587401,4641,4.270325
shendure,Geneformer,0.1587401,16681,7.196615
shendure,Geneformer,0.1587401,59948,3.7741
shendure,Geneformer,0.1587401,215443,3.466887
shendure,Geneformer,0.1587401,774263,3.460302
shendure,Geneformer,0.1587401,2782559,3.546949
shendure,Geneformer,0.1587401,10000000,3.500648
shendure,Geneformer,0.2931733,100,9.077066
shendure,Geneformer,0.2931733,359,10.722891
shendure,Geneformer,0.2931733,1291,5.602674
shendure,Geneformer,0.2931733,4641,4.092419
shendure,Geneformer,0.2931733,16681,3.653448
shendure,Geneformer,0.2931733,59948,3.746205
shendure,Geneformer,0.2931733,215443,3.449762
shendure,Geneformer,0.2931733,774263,3.422446
shendure,Geneformer,0.2931733,2782559,3.473826
shendure,Geneformer,0.2931733,10000000,3.468742
shendure,Geneformer,0.5414548,100,10.773585
shendure,Geneformer,0.5414548,359,7.762527
shendure,Geneformer,0.5414548,1291,5.807859
shendure,Geneformer,0.5414548,4641,4.111563
shendure,Geneformer,0.5414548,16681,3.747524
shendure,Geneformer,0.5414548,59948,3.61605
shendure,Geneformer,0.5414548,215443,3.55719
shendure,Geneformer,0.5414548,774263,3.558201
shendure,Geneformer,0.5414548,2782559,3.590225
shendure,Geneformer,0.5414548,10000000,3.572012
shendure,Geneformer,1.0,100,10.772882
shendure,Geneformer,1.0,359,8.216871
shendure,Geneformer,1.0,1291,9.930797
shendure,Geneformer,1.0,4641,4.339258
shendure,Geneformer,1.0,16681,6.927554
shendure,Geneformer,1.0,59948,3.991396
shendure,Geneformer,1.0,215443,3.71026
shendure,Geneformer,1.0,774263,3.707065
shendure,Geneformer,1.0,2782559,3.735655
shendure,Geneformer,1.0,10000000,3.666442
