fold,run_id,val_ids,edist_train_val,lmi,lmi_seed,n_train_cells,n_val_cells,scvi_train_seconds
5-fold,run_15,"run_13,run_18,run_21,run_22,run_23,run_24,run_25,run_26",5.9388,1.1460635327258353,42,10000,80000,177.37786960601807
5-fold,run_4,"run_13,run_18,run_21,run_22,run_23,run_24,run_25,run_26",12.1572,1.0809705636269604,42,10000,80000,167.98408722877502
6-fold,run_22,"run_16,run_18,run_19,run_20,run_21,run_24,run_26,run_4",0.739,1.7752456138186476,42,10000,80000,169.79181170463562
6-fold,run_14,"run_16,run_18,run_19,run_20,run_21,run_24,run_26,run_4",0.8504,1.7505368002533979,42,10000,80000,160.22270464897156
6-fold,run_13,"run_16,run_18,run_19,run_20,run_21,run_24,run_26,run_4",1.0223,1.7042516973895445,42,10000,80000,166.92989087104797
6-fold,run_27,"run_16,run_18,run_19,run_20,run_21,run_24,run_26,run_4",1.6064,1.7453021480190158,42,10000,80000,163.86450266838074
6-fold,run_23,"run_16,run_18,run_19,run_20,run_21,run_24,run_26,run_4",1.731,1.7282012538745863,42,10000,80000,167.80952525138855
6-fold,run_17,"run_16,run_18,run_19,run_20,run_21,run_24,run_26,run_4",2.8316,1.7201237357595183,42,10000,80000,177.29605913162231
6-fold,run_25,"run_16,run_18,run_19,run_20,run_21,run_24,run_26,run_4",3.1754,1.7049912910739549,42,10000,80000,172.1084372997284
6-fold,run_15,"run_16,run_18,run_19,run_20,run_21,run_24,run_26,run_4",3.2807,1.7661057239295,42,10000,80000,178.57289743423462
7-fold,run_26,"run_16,run_17,run_21,run_22,run_23,run_24,run_25,run_27",0.4288,1.4168412523588358,42,10000,80000,168.0735788345337
7-fold,run_18,"run_16,run_17,run_21,run_22,run_23,run_24,run_25,run_27",0.6524,1.3368724244600927,42,10000,80000,189.94813060760498
7-fold,run_20,"run_16,run_17,run_21,run_22,run_23,run_24,run_25,run_27",0.7054,1.4190923541571532,42,10000,80000,172.9805920124054
7-fold,run_13,"run_16,run_17,run_21,run_22,run_23,run_24,run_25,run_27",1.1293,1.3607107486013776,42,10000,80000,157.13274693489075
7-fold,run_14,"run_16,run_17,run_21,run_22,run_23,run_24,run_25,run_27",1.3528,1.4065407941705144,42,10000,80000,161.14507341384888
7-fold,run_19,"run_16,run_17,run_21,run_22,run_23,run_24,run_25,run_27",2.3443,1.455554424681009,42,10000,80000,176.14336037635803
7-fold,run_15,"run_16,run_17,run_21,run_22,run_23,run_24,run_25,run_27",4.3732,1.4976737518711112,42,10000,80000,163.9459912776947
7-fold,run_4,"run_16,run_17,run_21,run_22,run_23,run_24,run_25,run_27",10.4124,1.4173194176581874,42,10000,80000,172.75100088119507
8-fold,run_21,"run_15,run_18,run_19,run_20,run_22,run_24,run_25,run_26",0.6931,1.5797760672705556,42,10000,80000,186.3459575176239
8-fold,run_27,"run_15,run_18,run_19,run_20,run_22,run_24,run_25,run_26",0.7337,1.689359985501139,42,10000,80000,173.17854237556458
8-fold,run_23,"run_15,run_18,run_19,run_20,run_22,run_24,run_25,run_26",0.792,1.6808017972532905,42,10000,80000,173.82771611213684
8-fold,run_13,"run_15,run_18,run_19,run_20,run_22,run_24,run_25,run_26",0.9821,1.553027635411534,42,10000,80000,159.57566928863525
8-fold,run_14,"run_15,run_18,run_19,run_20,run_22,run_24,run_25,run_26",1.1279,1.554949643551492,42,10000,80000,158.5034830570221
8-fold,run_16,"run_15,run_18,run_19,run_20,run_22,run_24,run_25,run_26",2.0598,1.5740774455020843,42,10000,80000,160.9651300907135
8-fold,run_17,"run_15,run_18,run_19,run_20,run_22,run_24,run_25,run_26",3.8119,1.5893890282563004,42,10000,80000,160.84706234931946
8-fold,run_4,"run_15,run_18,run_19,run_20,run_22,run_24,run_25,run_26",9.7914,1.5643284807621765,42,10000,80000,161.40052962303162
