method,metric,size,fitted_u_bar,fitted_I_max,u_bar_error,I_max_error
RandomProjection,author_day,215443,1273.423,0.783,182.064,0.038
RandomProjection,author_day,774263,1273.423,0.783,182.064,0.038
RandomProjection,author_day,2782559,1273.423,0.783,182.064,0.038
RandomProjection,author_day,10000000,1358.869,0.805,171.073,0.032
RandomProjection,celltype.l3,100,3660.629,2.634,391.172,0.055
RandomProjection,celltype.l3,215,3762.035,2.634,381.122,0.051
RandomProjection,celltype.l3,464,3641.784,2.598,404.229,0.053
RandomProjection,celltype.l3,1000,3602.101,2.619,345.233,0.047
RandomProjection,celltype.l3,2154,3900.993,2.641,518.151,0.066
RandomProjection,celltype.l3,4641,3940.555,2.641,414.678,0.05
RandomProjection,celltype.l3,10000,3652.572,2.612,373.431,0.05
RandomProjection,celltype.l3,21544,3684.207,2.61,355.8,0.047
RandomProjection,celltype.l3,46415,3693.772,2.629,402.0,0.055
RandomProjection,celltype.l3,100000,3819.83,2.642,458.756,0.061
RandomProjection,clone,100,1686.996,0.532,364.896,0.046
RandomProjection,clone,215,1686.996,0.532,364.896,0.046
RandomProjection,clone,464,1686.996,0.532,364.896,0.046
RandomProjection,clone,1000,1686.996,0.532,364.896,0.046
RandomProjection,clone,2154,1686.996,0.532,364.896,0.046
RandomProjection,clone,4641,1686.996,0.532,364.896,0.046
RandomProjection,clone,10000,1686.996,0.532,364.896,0.046
RandomProjection,clone,21544,1686.996,0.532,364.896,0.046
RandomProjection,clone,46415,1686.996,0.532,364.896,0.046
RandomProjection,clone,100000,1686.996,0.532,364.896,0.046
RandomProjection,ng_idx,100,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,203,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,414,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,843,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,1716,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,3494,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,7113,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,14480,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,29475,250.534,0.696,31.949,0.034
RandomProjection,ng_idx,60000,250.534,0.696,31.949,0.034
RandomProjection,protein_counts,100,4874.085,3.147,557.426,0.064
RandomProjection,protein_counts,215,4907.481,3.158,423.049,0.047
RandomProjection,protein_counts,464,4411.989,3.099,382.372,0.045
RandomProjection,protein_counts,1000,4826.317,3.151,451.892,0.05
RandomProjection,protein_counts,2154,5114.772,3.183,516.531,0.055
RandomProjection,protein_counts,4641,4665.207,3.134,406.861,0.045
