seed,noise_level,eta,sigma_meas_sq,sigma_M,sigma_M_sq_ratio,sigma_M_sq,n_per_batch,k,MI,MI_std_if_estimator_provides_it
0,0.05,399.99999999999994,0.0025000000000000005,0.0,0.0,0.0,10.0,100,0.05940868988682935,
0,0.05,399.99999999999994,0.0025000000000000005,0.14142135623730953,8.000000000000002,0.020000000000000007,10.0,100,0.0,
0,0.05,399.99999999999994,0.0025000000000000005,0.28284271247461906,32.00000000000001,0.08000000000000003,10.0,100,0.0,
0,0.05,399.99999999999994,0.0025000000000000005,0.5656854249492381,128.00000000000003,0.3200000000000001,10.0,100,0.0,
0,0.05,399.99999999999994,0.0025000000000000005,0.8485281374238571,288.0,0.7200000000000002,10.0,100,0.0,
0,0.05,399.99999999999994,0.0025000000000000005,1.1313708498984762,512.0000000000001,1.2800000000000005,10.0,100,0.0,
0,0.1,99.99999999999999,0.010000000000000002,0.0,0.0,0.0,10.0,100,0.0,
0,0.1,99.99999999999999,0.010000000000000002,0.14142135623730953,2.0000000000000004,0.020000000000000007,10.0,100,0.0,
0,0.1,99.99999999999999,0.010000000000000002,0.28284271247461906,8.000000000000002,0.08000000000000003,10.0,100,0.0,
0,0.1,99.99999999999999,0.010000000000000002,0.5656854249492381,32.00000000000001,0.3200000000000001,10.0,100,0.020759941219234967,
0,0.1,99.99999999999999,0.010000000000000002,0.8485281374238571,72.0,0.7200000000000002,10.0,100,0.0,
0,0.1,99.99999999999999,0.010000000000000002,1.1313708498984762,128.00000000000003,1.2800000000000005,10.0,100,0.05302266796227162,
0,0.2,24.999999999999996,0.04000000000000001,0.0,0.0,0.0,10.0,100,0.0,
0,0.2,24.999999999999996,0.04000000000000001,0.14142135623730953,0.5000000000000001,0.020000000000000007,10.0,100,0.0,
0,0.2,24.999999999999996,0.04000000000000001,0.28284271247461906,2.0000000000000004,0.08000000000000003,10.0,100,0.0,
0,0.2,24.999999999999996,0.04000000000000001,0.5656854249492381,8.000000000000002,0.3200000000000001,10.0,100,0.012165646636453697,
0,0.2,24.999999999999996,0.04000000000000001,0.8485281374238571,18.0,0.7200000000000002,10.0,100,0.008371196536555381,
0,0.2,24.999999999999996,0.04000000000000001,1.1313708498984762,32.00000000000001,1.2800000000000005,10.0,100,0.05324663700015719,
0,0.4,6.249999999999999,0.16000000000000003,0.0,0.0,0.0,10.0,100,0.0,
0,0.4,6.249999999999999,0.16000000000000003,0.14142135623730953,0.12500000000000003,0.020000000000000007,10.0,100,0.0,
0,0.4,6.249999999999999,0.16000000000000003,0.28284271247461906,0.5000000000000001,0.08000000000000003,10.0,100,0.07639068703525442,
0,0.4,6.249999999999999,0.16000000000000003,0.5656854249492381,2.0000000000000004,0.3200000000000001,10.0,100,0.01292576938352008,
0,0.4,6.249999999999999,0.16000000000000003,0.8485281374238571,4.5,0.7200000000000002,10.0,100,0.03684411331556614,
0,0.4,6.249999999999999,0.16000000000000003,1.1313708498984762,8.000000000000002,1.2800000000000005,10.0,100,0.023422339867122943,
0,0.8,1.5624999999999998,0.6400000000000001,0.0,0.0,0.0,10.0,100,0.012257500466227533,
0,0.8,1.5624999999999998,0.6400000000000001,0.14142135623730953,0.03125000000000001,0.020000000000000007,10.0,100,0.0387131033495538,
0,0.8,1.5624999999999998,0.6400000000000001,0.28284271247461906,0.12500000000000003,0.08000000000000003,10.0,100,0.005943109971040528,
0,0.8,1.5624999999999998,0.6400000000000001,0.5656854249492381,0.5000000000000001,0.3200000000000001,10.0,100,0.0,
0,0.8,1.5624999999999998,0.6400000000000001,0.8485281374238571,1.125,0.7200000000000002,10.0,100,0.009473474322090336,
0,0.8,1.5624999999999998,0.6400000000000001,1.1313708498984762,2.0000000000000004,1.2800000000000005,10.0,100,0.0050175916343677684,
