size,pc,drift_deg,drift_std
100,1,6.77789306640625,1.7641095
100,2,22.255556106567383,18.97976
100,3,43.24286651611328,24.57997
100,4,65.41204833984375,16.40096
100,5,49.22201156616211,22.101833
100,6,52.66252136230469,26.49481
100,7,64.9131088256836,23.82446
100,8,76.60559844970703,11.146336
166,1,5.063370227813721,1.1319325
166,2,14.629495620727539,10.105705
166,3,37.36601638793945,22.38507
166,4,59.836544036865234,18.41493
166,5,45.9037971496582,26.192404
166,6,40.65333938598633,27.755478
166,7,51.839351654052734,26.450394
166,8,72.96104431152344,13.221072
278,1,4.081363677978516,0.90079045
278,2,11.876236915588379,11.767554
278,3,34.54664611816406,23.47728
278,4,51.351253509521484,20.330158
278,5,35.516109466552734,22.19188
278,6,30.499649047851562,24.37124
278,7,27.539690017700195,15.658192
278,8,68.11456298828125,16.192162
464,1,3.153238534927368,0.7583119
464,2,7.476351261138916,1.7809247
464,3,22.673664093017578,17.522652
464,4,42.588321685791016,21.311403
464,5,35.005943298339844,24.831264
464,6,24.673532485961914,23.532923
464,7,18.072290420532227,10.22458
464,8,53.46552276611328,19.721012
774,1,2.4577808380126953,0.4832806
774,2,5.890312671661377,1.6367558
774,3,20.199756622314453,17.17266
774,4,40.5499382019043,22.041937
774,5,34.17744064331055,26.081427
774,6,22.8712215423584,23.909756
774,7,12.95433235168457,1.9927591
774,8,46.663299560546875,20.536217
1291,1,1.885574460029602,0.4585354
1291,2,4.6716179847717285,1.5556165
1291,3,14.96446418762207,13.661742
1291,4,32.4045295715332,21.409954
1291,5,27.142112731933594,24.35368
1291,6,14.2406587600708,17.60997
1291,7,10.31143569946289,1.6113379
1291,8,38.735809326171875,17.336817
2154,1,1.5109355449676514,0.32977614
2154,2,3.6763360500335693,0.96992075
2154,3,10.290614128112793,8.697818
2154,4,20.675691604614258,15.954183
2154,5,17.14940643310547,16.058962
2154,6,8.03303050994873,4.724757
2154,7,7.9716796875,0.9106249
2154,8,37.53828048706055,17.440989
3593,1,1.2370880842208862,0.2460603
3593,2,3.039336919784546,0.92724574
3593,3,9.48739242553711,8.544841
3593,4,22.461271286010742,19.276272
3593,5,18.889488220214844,19.622395
3593,6,6.491571426391602,4.1191864
3593,7,6.629243850708008,0.70603585
3593,8,28.888267517089844,15.628647
5994,1,0.9878730773925781,0.189882
5994,2,2.475877285003662,0.7123461
5994,3,6.5652689933776855,4.7290716
5994,4,15.4835786819458,13.437773
5994,5,13.273921012878418,13.694047
5994,6,4.6745285987854,1.4780426
5994,7,5.5983195304870605,0.61792654
5994,8,22.357337951660156,13.036584
10000,1,0.8143712878227234,0.13593376
10000,2,2.0876927375793457,0.5278893
10000,3,4.856301784515381,2.1958997
10000,4,11.260602951049805,9.931107
10000,5,9.768937110900879,10.258069
10000,6,3.806095838546753,1.0778586
10000,7,4.773988723754883,0.5115012
10000,8,19.258621215820312,10.790754
